,RUID,Assigned Rooms
0,962353610,"['SA', 'Apt 133 - 148', '133-D']"
1,804917702,"['SA', 'Apt 133 - 148', '133-B']"
2,645626769,"['SA', 'Apt 133 - 148', '133-C']"
3,152782265,"['SA', 'Apt 133 - 148', '133-A']"
4,208819740,"['SA', 'Apt 133 - 148', '134-B']"
5,536495740,"['SA', 'Apt 133 - 148', '134-A']"
6,123121265,"['SA', 'Apt 133 - 148', '134-C']"
7,280087476,"['SA', 'Apt 133 - 148', '134-D']"
8,920360732,"['SA', 'Apt 133 - 148', '141-B']"
9,437601750,"['SA', 'Apt 133 - 148', '141-C']"
10,367389892,"['SA', 'Apt 133 - 148', '141-A']"
11,808209660,"['SA', 'Apt 133 - 148', '141-D']"
12,215143549,"['SA', 'Apt 133 - 148', '142-A']"
13,484798610,"['SA', 'Apt 133 - 148', '142-B']"
14,679203803,"['SA', 'Apt 133 - 148', '142-C']"
15,545611698,"['SA', 'Apt 133 - 148', '142-D']"
16,898020175,"['SA', 'Apt 133 - 148', '135-B']"
17,162655024,"['SA', 'Apt 133 - 148', '135-A']"
18,531933341,"['SA', 'Apt 133 - 148', '135-D']"
19,593386504,"['SA', 'Apt 133 - 148', '135-C']"
20,897130133,"['SA', 'Apt 133 - 148', '136-A']"
21,322756208,"['SA', 'Apt 133 - 148', '136-D']"
22,228255825,"['SA', 'Apt 133 - 148', '136-B']"
23,491878155,"['SA', 'Apt 133 - 148', '136-C']"
24,944379524,"['SA', 'Apt 133 - 148', '143-A']"
25,719583444,"['SA', 'Apt 133 - 148', '143-C']"
26,688131998,"['SA', 'Apt 133 - 148', '143-D']"
27,916279542,"['SA', 'Apt 133 - 148', '143-B']"
28,829974117,"['SA', 'Apt 133 - 148', '144-A']"
29,814673942,"['SA', 'Apt 133 - 148', '144-D']"
30,886868976,"['SA', 'Apt 133 - 148', '144-B']"
31,248373165,"['SA', 'Apt 133 - 148', '144-C']"
32,726815962,"['SA', 'Apt 133 - 148', '137-C']"
33,657824192,"['SA', 'Apt 133 - 148', '137-A']"
34,826635682,"['SA', 'Apt 133 - 148', '137-B']"
35,134917145,"['SA', 'Apt 133 - 148', '137-D']"
36,478435780,"['SA', 'Apt 133 - 148', '138-A']"
37,699784220,"['SA', 'Apt 133 - 148', '138-B']"
38,146201673,"['SA', 'Apt 133 - 148', '138-C']"
39,708618762,"['SA', 'Apt 133 - 148', '138-D']"
40,754337950,"['SA', 'Apt 133 - 148', '145-B']"
41,371032410,"['SA', 'Apt 133 - 148', '145-A']"
42,500950555,"['SA', 'Apt 133 - 148', '145-D']"
43,146033002,"['SA', 'Apt 133 - 148', '145-C']"
