,RUID,Assigned Rooms
0,765060458,"['SA', 'Apt 133 - 148', '133-D']"
1,207018112,"['SA', 'Apt 133 - 148', '133-B']"
2,595568354,"['SA', 'Apt 133 - 148', '133-C']"
3,144323751,"['SA', 'Apt 133 - 148', '133-A']"
4,202603155,"['SA', 'Apt 133 - 148', '134-A']"
5,782730368,"['SA', 'Apt 133 - 148', '134-B']"
6,245176761,"['SA', 'Apt 133 - 148', '134-C']"
7,172482738,"['SA', 'Apt 133 - 148', '134-D']"
8,351058258,"['SA', 'Apt 133 - 148', '141-A']"
9,895927948,"['SA', 'Apt 133 - 148', '141-B']"
10,157740697,"['SA', 'Apt 133 - 148', '141-C']"
11,518689199,"['SA', 'Apt 133 - 148', '141-D']"
12,481808761,"['SA', 'Apt 133 - 148', '142-A']"
13,997157729,"['SA', 'Apt 133 - 148', '142-B']"
14,920369132,"['SA', 'Apt 133 - 148', '142-C']"
15,724912714,"['SA', 'Apt 133 - 148', '142-D']"
16,149194487,"['SA', 'Apt 133 - 148', '135-A']"
17,371494077,"['SA', 'Apt 133 - 148', '135-B']"
18,910280131,"['SA', 'Apt 133 - 148', '135-D']"
19,880651188,"['SA', 'Apt 133 - 148', '135-C']"
20,526684425,"['SA', 'Apt 133 - 148', '136-A']"
21,555747424,"['SA', 'Apt 133 - 148', '136-B']"
22,881126715,"['SA', 'Apt 133 - 148', '136-C']"
23,771865686,"['SA', 'Apt 133 - 148', '136-D']"
24,279281716,"['SA', 'Apt 133 - 148', '143-A']"
25,394255656,"['SA', 'Apt 133 - 148', '143-B']"
26,783435711,"['SA', 'Apt 133 - 148', '143-C']"
27,967398430,"['SA', 'Apt 133 - 148', '143-D']"
28,663872273,"['SA', 'Apt 133 - 148', '144-A']"
29,300842884,"['SA', 'Apt 133 - 148', '144-B']"
30,890413001,"['SA', 'Apt 133 - 148', '144-C']"
31,518881608,"['SA', 'Apt 133 - 148', '144-D']"
32,149063097,"['SA', 'Apt 133 - 148', '137-A']"
33,498936595,"['SA', 'Apt 133 - 148', '137-B']"
34,603075549,"['SA', 'Apt 133 - 148', '137-C']"
35,492248445,"['SA', 'Apt 133 - 148', '137-D']"
36,529995093,"['SA', 'Apt 133 - 148', '138-A']"
37,322562737,"['SA', 'Apt 133 - 148', '138-B']"
38,416237762,"['SA', 'Apt 133 - 148', '138-C']"
39,923666995,"['SA', 'Apt 133 - 148', '138-D']"
40,797543282,"['SA', 'Apt 133 - 148', '145-A']"
41,785282277,"['SA', 'Apt 133 - 148', '145-B']"
42,461751824,"['SA', 'Apt 133 - 148', '145-C']"
43,977839372,"['SA', 'Apt 133 - 148', '145-D']"
44,586602985,"['SA', 'Apt 133 - 148', '146-C']"
45,117719443,"['SA', 'Apt 133 - 148', '146-B']"
46,899529345,"['SA', 'Apt 133 - 148', '146-A']"
47,607649192,"['SA', 'Apt 133 - 148', '146-D']"
48,979343873,"['SA', 'Apt 133 - 148', '147-A']"
49,729191662,"['SA', 'Apt 133 - 148', '147-B']"
50,721203309,"['SA', 'Apt 133 - 148', '147-C']"
51,933512901,"['SA', 'Apt 133 - 148', '147-D']"
52,800831739,"['SA', 'Apt 133 - 148', '148-B']"
53,222133989,"['SA', 'Apt 133 - 148', '148-A']"
54,925589613,"['SA', 'Apt 133 - 148', '148-C']"
55,105741775,"['SA', 'Apt 133 - 148', '148-D']"
56,159957877,"['SA', 'Apt 133 - 148', '139-A']"
57,172429847,"['SA', 'Apt 133 - 148', '139-B']"
58,371175427,"['SA', 'Apt 133 - 148', '139-C']"
59,152671275,"['SA', 'Apt 133 - 148', '139-D']"
60,457579383,"['SA', 'Apt 133 - 148', '140-A']"
61,291817346,"['SA', 'Apt 133 - 148', '140-B']"
62,748234013,"['SA', 'Apt 133 - 148', '140-C']"
63,373348904,"['SA', 'Apt 133 - 148', '140-D']"
64,140003907,"['SA', 'Apt 149 - 164', '149-A']"
65,661141420,"['SA', 'Apt 149 - 164', '149-B']"
66,536180894,"['SA', 'Apt 149 - 164', '149-C']"
67,872561859,"['SA', 'Apt 149 - 164', '149-D']"
68,404167352,"['SA', 'Apt 149 - 164', '150-A']"
69,318789805,"['SA', 'Apt 149 - 164', '150-B']"
70,585968528,"['SA', 'Apt 149 - 164', '150-C']"
71,866470954,"['SA', 'Apt 149 - 164', '150-D']"
72,229410174,"['SA', 'Apt 149 - 164', '151-A']"
73,852665751,"['SA', 'Apt 149 - 164', '151-B']"
74,205724506,"['SA', 'Apt 149 - 164', '151-C']"
75,248381338,"['SA', 'Apt 149 - 164', '151-D']"
76,336290667,"['SA', 'Apt 149 - 164', '152-A']"
77,692225359,"['SA', 'Apt 149 - 164', '152-B']"
78,115099059,"['SA', 'Apt 149 - 164', '152-C']"
79,141496288,"['SA', 'Apt 149 - 164', '152-D']"
80,651239463,"['SA', 'Apt 149 - 164', '153-A']"
81,153822188,"['SA', 'Apt 149 - 164', '153-B']"
82,235951488,"['SA', 'Apt 149 - 164', '153-C']"
83,168043821,"['SA', 'Apt 149 - 164', '153-D']"
84,668942312,"['SA', 'Apt 149 - 164', '154-A']"
85,438472901,"['SA', 'Apt 149 - 164', '154-B']"
86,716198652,"['SA', 'Apt 149 - 164', '154-C']"
87,901840683,"['SA', 'Apt 149 - 164', '154-D']"
88,427707307,"['SA', 'Apt 149 - 164', '155-A']"
89,582801307,"['SA', 'Apt 149 - 164', '155-B']"
