,RUID,Assigned Rooms
0,551984217,"['SA', 'Apt 133 - 148', '133-A']"
1,309801461,"['SA', 'Apt 133 - 148', '133-B']"
2,161416525,"['SA', 'Apt 133 - 148', '133-C']"
3,434876079,"['SA', 'Apt 133 - 148', '133-D']"
4,774627109,"['SA', 'Apt 133 - 148', '134-B']"
5,803710149,"['SA', 'Apt 133 - 148', '134-C']"
6,655370755,"['SA', 'Apt 133 - 148', '134-A']"
7,286133665,"['SA', 'Apt 133 - 148', '134-D']"
8,797761907,"['SA', 'Apt 133 - 148', '141-A']"
9,571486102,"['SA', 'Apt 133 - 148', '141-C']"
10,622401914,"['SA', 'Apt 133 - 148', '141-B']"
11,423468113,"['SA', 'Apt 133 - 148', '141-D']"
12,739455600,"['SA', 'Apt 133 - 148', '142-A']"
13,225961133,"['SA', 'Apt 133 - 148', '142-B']"
14,705730508,"['SA', 'Apt 133 - 148', '142-C']"
15,665455196,"['SA', 'Apt 133 - 148', '142-D']"
16,481393784,"['SA', 'Apt 133 - 148', '135-A']"
17,451182682,"['SA', 'Apt 133 - 148', '135-B']"
18,190769854,"['SA', 'Apt 133 - 148', '135-C']"
19,391117645,"['SA', 'Apt 133 - 148', '135-D']"
20,502868410,"['SA', 'Apt 133 - 148', '136-D']"
21,396001838,"['SA', 'Apt 133 - 148', '136-B']"
22,138901797,"['SA', 'Apt 133 - 148', '136-C']"
23,895120525,"['SA', 'Apt 133 - 148', '136-A']"
24,367952367,"['SA', 'Apt 133 - 148', '143-A']"
25,800382176,"['SA', 'Apt 133 - 148', '143-B']"
26,881950408,"['SA', 'Apt 133 - 148', '143-C']"
27,790550356,"['SA', 'Apt 133 - 148', '143-D']"
28,751135090,"['SA', 'Apt 133 - 148', '144-A']"
29,921778032,"['SA', 'Apt 133 - 148', '144-B']"
30,772858993,"['SA', 'Apt 133 - 148', '144-C']"
31,128453879,"['SA', 'Apt 133 - 148', '144-D']"
32,364745703,"['SA', 'Apt 133 - 148', '137-A']"
33,540998212,"['SA', 'Apt 133 - 148', '137-B']"
34,634396244,"['SA', 'Apt 133 - 148', '137-C']"
35,117048752,"['SA', 'Apt 133 - 148', '137-D']"
36,908443336,"['SA', 'Apt 133 - 148', '138-A']"
37,494846809,"['SA', 'Apt 133 - 148', '138-B']"
38,694455912,"['SA', 'Apt 133 - 148', '138-D']"
39,577606219,"['SA', 'Apt 133 - 148', '138-C']"
40,639896689,"['SA', 'Apt 133 - 148', '145-A']"
41,977412428,"['SA', 'Apt 133 - 148', '145-B']"
42,937503993,"['SA', 'Apt 133 - 148', '145-D']"
43,636114121,"['SA', 'Apt 133 - 148', '145-C']"
44,218268999,"['SA', 'Apt 133 - 148', '146-C']"
45,919137768,"['SA', 'Apt 133 - 148', '146-A']"
46,944564361,"['SA', 'Apt 133 - 148', '146-B']"
47,745961561,"['SA', 'Apt 133 - 148', '146-D']"
48,910005373,"['SA', 'Apt 133 - 148', '147-B']"
49,482323016,"['SA', 'Apt 133 - 148', '147-C']"
50,367413973,"['SA', 'Apt 133 - 148', '147-D']"
51,706879490,"['SA', 'Apt 133 - 148', '147-A']"
52,441508495,"['SA', 'Apt 133 - 148', '148-A']"
53,366261623,"['SA', 'Apt 133 - 148', '148-B']"
54,348365886,"['SA', 'Apt 133 - 148', '148-C']"
55,292114573,"['SA', 'Apt 133 - 148', '148-D']"
56,794296533,"['SA', 'Apt 133 - 148', '139-A']"
57,164226938,"['SA', 'Apt 133 - 148', '139-B']"
58,898891356,"['SA', 'Apt 133 - 148', '139-C']"
59,556027412,"['SA', 'Apt 133 - 148', '139-D']"
60,574321768,"['SA', 'Apt 133 - 148', '140-D']"
61,419283376,"['SA', 'Apt 133 - 148', '140-B']"
62,884580868,"['SA', 'Apt 133 - 148', '140-C']"
63,832399977,"['SA', 'Apt 133 - 148', '140-A']"
64,540889642,"['SA', 'Apt 149 - 164', '149-A']"
65,334796100,"['SA', 'Apt 149 - 164', '149-B']"
66,955152748,"['SA', 'Apt 149 - 164', '149-C']"
67,819563023,"['SA', 'Apt 149 - 164', '149-D']"
68,586124120,"['SA', 'Apt 149 - 164', '150-C']"
69,433352994,"['SA', 'Apt 149 - 164', '150-B']"
70,927567580,"['SA', 'Apt 149 - 164', '150-A']"
71,396666320,"['SA', 'Apt 149 - 164', '150-D']"
72,689926596,"['SA', 'Apt 149 - 164', '151-A']"
73,188361964,"['SA', 'Apt 149 - 164', '151-B']"
74,828070603,"['SA', 'Apt 149 - 164', '151-C']"
75,993343242,"['SA', 'Apt 149 - 164', '151-D']"
76,260844849,"['SA', 'Apt 149 - 164', '152-A']"
77,917458133,"['SA', 'Apt 149 - 164', '152-B']"
78,783469332,"['SA', 'Apt 149 - 164', '152-C']"
79,911217518,"['SA', 'Apt 149 - 164', '152-D']"
80,336393788,"['SA', 'Apt 149 - 164', '153-A']"
81,497514787,"['SA', 'Apt 149 - 164', '153-B']"
82,187867377,"['SA', 'Apt 149 - 164', '153-C']"
83,256893657,"['SA', 'Apt 149 - 164', '153-D']"
84,443841948,"['SA', 'Apt 149 - 164', '154-A']"
85,618068348,"['SA', 'Apt 149 - 164', '154-B']"
86,166926580,"['SA', 'Apt 149 - 164', '154-C']"
87,509105770,"['SA', 'Apt 149 - 164', '154-D']"
88,373260264,"['SA', 'Apt 149 - 164', '155-A']"
89,111639038,"['SA', 'Apt 149 - 164', '155-B']"
90,813743119,"['SA', 'Apt 149 - 164', '155-C']"
91,718584582,"['SA', 'Apt 149 - 164', '155-D']"
92,746013955,"['SA', 'Apt 149 - 164', '156-A']"
93,298346769,"['SA', 'Apt 149 - 164', '156-B']"
94,801119354,"['SA', 'Apt 149 - 164', '156-C']"
95,783969160,"['SA', 'Apt 149 - 164', '156-D']"
96,810875610,"['SA', 'Apt 149 - 164', '157-A']"
97,369462073,"['SA', 'Apt 149 - 164', '157-B']"
98,347350342,"['SA', 'Apt 149 - 164', '157-C']"
99,849712026,"['SA', 'Apt 149 - 164', '157-D']"
100,433716053,"['SA', 'Apt 149 - 164', '158-A']"
101,448221156,"['SA', 'Apt 149 - 164', '158-B']"
102,266513857,"['SA', 'Apt 149 - 164', '158-C']"
103,462665624,"['SA', 'Apt 149 - 164', '158-D']"
104,323504187,"['SA', 'Apt 149 - 164', '159-C']"
105,407387498,"['SA', 'Apt 149 - 164', '159-B']"
106,410496650,"['SA', 'Apt 149 - 164', '159-A']"
107,655346828,"['SA', 'Apt 149 - 164', '159-D']"
108,167871836,"['SA', 'Apt 149 - 164', '160-A']"
109,764625789,"['SA', 'Apt 149 - 164', '160-B']"
110,654894285,"['SA', 'Apt 149 - 164', '160-C']"
111,794603652,"['SA', 'Apt 149 - 164', '160-D']"
112,224505253,"['SA', 'Apt 149 - 164', '161-A']"
113,737330209,"['SA', 'Apt 149 - 164', '161-B']"
114,837849275,"['SA', 'Apt 149 - 164', '161-C']"
115,916513832,"['SA', 'Apt 149 - 164', '161-D']"
116,584679687,"['SA', 'Apt 149 - 164', '162-A']"
117,598851875,"['SA', 'Apt 149 - 164', '162-B']"
118,342481165,"['SA', 'Apt 149 - 164', '162-C']"
119,115314020,"['SA', 'Apt 149 - 164', '162-D']"
120,395540652,"['SA', 'Apt 149 - 164', '163-A']"
121,598585595,"['SA', 'Apt 149 - 164', '163-B']"
122,290367311,"['SA', 'Apt 149 - 164', '163-C']"
123,819910544,"['SA', 'Apt 149 - 164', '163-D']"
124,667635928,"['SA', 'Apt 149 - 164', '164-A']"
125,953785970,"['SA', 'Apt 149 - 164', '164-B']"
126,441693088,"['SA', 'Apt 149 - 164', '164-C']"
127,130260151,"['SA', 'Apt 149 - 164', '164-D']"
128,508811894,"['SA', 'Apt 165 - 180', '165-A']"
129,990527386,"['SA', 'Apt 165 - 180', '165-B']"
130,271588479,"['SA', 'Apt 165 - 180', '165-C']"
131,932051833,"['SA', 'Apt 165 - 180', '165-D']"
132,715923031,"['SA', 'Apt 165 - 180', '166-A']"
133,270639725,"['SA', 'Apt 165 - 180', '166-B']"
134,550810237,"['SA', 'Apt 165 - 180', '166-C']"
135,253056725,"['SA', 'Apt 165 - 180', '166-D']"
136,763400874,"['SA', 'Apt 165 - 180', '167-B']"
137,799042438,"['SA', 'Apt 165 - 180', '167-D']"
138,562643797,"['SA', 'Apt 165 - 180', '167-C']"
139,442061684,"['SA', 'Apt 165 - 180', '167-A']"
140,630940701,"['SA', 'Apt 165 - 180', '168-A']"
